row_id,subj_code,batch_num,bin,trial_number,word,key,rt
143,5000,3,7,153,disarray,6,1823
144,5000,3,7,154,anaconda,5,2886
145,5000,3,7,155,kin,5,1598
146,5000,3,7,156,guru,5,3072
147,5000,3,7,157,salty,5,3818
148,5000,3,7,158,verse,6,1082
149,5000,3,7,159,sulk,5,443
150,5001,1,28,1,allergic,2,13443
151,5001,1,28,2,neutralism,2,5462
152,5001,1,28,3,luckless,6,7606
153,5001,1,28,4,pacifier,6,2734
154,5001,1,28,5,dispose,4,11131
155,5001,1,28,6,hyperbolic,1,4671
156,5001,1,28,7,mink,5,8619
157,5001,1,28,8,rue,2,4093
158,5001,1,28,9,smile,2,988
159,5001,1,28,10,glacier,2,2960
160,5001,1,28,11,prevail,3,12513
161,5001,1,28,12,history,3,8689
162,5001,1,28,13,telethon,6,7506
163,5001,1,28,14,octagon,2,11602
164,5001,1,28,15,diffuse,2,1881
165,5001,1,28,16,return,2,1603
166,5001,1,28,17,trapper,6,2834
167,5001,1,28,18,blat,2,2882
168,5001,1,28,20,starfish,6,6220
169,5001,1,28,21,moustache,6,5253
170,5001,1,28,22,full,6,9659
171,5001,1,28,23,appraisal,2,2634
172,5001,1,28,24,citrus,2,1713
173,5001,1,28,25,fable,2,13047
174,5001,1,28,27,duffel,2,1994
175,5001,1,28,28,tyranny,2,1402
176,5001,1,28,29,mast,2,3291
177,5001,1,28,32,title,2,4399
178,5001,1,28,33,infectious,5,3996
179,5001,1,28,34,ethnic,2,3447
180,5001,1,28,35,poisonous,5,25846
181,5001,1,28,36,lifetime,6,6620
182,5001,1,28,37,buttery,6,1336
183,5001,1,28,38,authority,2,2998
184,5001,1,28,39,craggy,2,2085
185,5001,1,28,40,reflect,6,6703
186,5001,1,28,41,brainy,6,1184
187,5001,1,28,42,grill,6,1577
188,5001,1,28,43,bearable,4,4593
189,5001,1,28,44,pedigree,2,5941
190,5001,1,28,45,unicycle,6,3956
191,5001,1,28,46,contain,3,2283
192,5001,1,28,47,sour,6,30560
193,5001,1,28,48,impossibility,6,3545
194,5001,1,28,49,happiness,6,534
195,5001,1,28,50,jerky,2,3597
196,5001,2,13,51,drafting,6,8794
197,5001,2,13,52,egregious,2,2824
198,5001,2,13,53,government,5,4583
199,5001,2,13,54,threshold,5,2234
200,5001,2,13,55,untimely,5,2200
201,5001,2,13,56,mysterious,5,1732
202,5001,2,13,57,stooge,2,2223
203,5001,2,13,58,bubonic,2,910
204,5001,2,13,59,welcome,6,5599
205,5001,2,13,60,corridor,2,2775
206,5001,2,13,61,ostracize,2,1327
207,5001,2,13,62,frankly,5,3534
208,5001,2,13,63,irretrievable,2,3067
209,5001,2,13,64,squadron,2,1310
210,5001,2,13,65,sat,2,1252
211,5001,2,13,66,womanizer,7,3449
212,5001,2,13,67,insight,6,4293
213,5001,2,13,68,choir,2,4624
214,5001,2,13,69,turnout,6,14640
215,5001,2,13,70,mice,6,5034
216,5001,2,13,72,perseverance,2,3357
217,5001,2,13,73,imperative,2,878
218,5001,2,13,74,hairpin,6,2926
219,5001,2,13,75,tote,3,3523
220,5001,2,13,76,gator,6,4063
221,5001,2,13,77,riser,6,1783
222,5001,2,13,78,experimental,6,17154
223,5001,2,13,79,conform,2,2994
224,5001,2,13,82,oath,2,2788
225,5001,2,13,83,planner,6,3039
226,5001,2,13,84,discordance,2,2858
227,5001,2,13,85,prosecutor,6,4142
228,5001,2,13,86,detection,6,3220
229,5001,2,13,87,flick,6,4306
230,5001,2,13,88,abstinence,2,2251
231,5001,2,13,89,loch,2,941
232,5001,2,13,90,billboard,6,3287
233,5001,2,13,91,cuisine,2,2242
