row_id,subj_code,batch_num,bin,trial_number,word,key,rt
140,7001,1,3,73,buffoon,7,2208
141,7001,1,3,74,accused,1,2050
142,7001,1,3,75,peppermint,1,1026
143,7002,1,4,1,kelp,1,6533
144,7002,1,4,2,hairpin,7,3531
145,7002,1,4,3,speeding,7,3792
146,7002,1,4,4,crumb,7,3185
147,7002,1,4,5,connected,6,5592
148,7002,1,4,6,payroll,2,7469
149,7002,1,4,7,hussy,6,2680
150,7002,1,4,8,aristocracy,6,5928
151,7002,1,4,9,defy,7,1646
152,7002,1,4,10,chose,2,4563
153,7002,1,4,11,utterly,4,2707
154,7002,1,4,12,homeless,7,2295
155,7002,1,4,13,coleslaw,6,2407
156,7002,1,4,14,wrongful,7,3240
157,7002,1,4,15,putrid,7,2305
158,7002,1,4,16,multimedia,6,3387
159,7002,1,4,17,make,1,2437
160,7002,1,4,18,nun,6,2201
161,7002,1,4,19,want,1,3099
162,7002,1,4,20,round,7,1726
163,7002,1,4,21,literality,5,3605
164,7002,1,4,22,mash,7,2905
165,7002,1,4,23,pervasive,5,2562
166,7002,1,4,24,slobber,7,1949
167,7002,1,4,25,mini,6,2417
168,7002,1,4,26,January,1,2748
169,7002,1,4,27,glider,7,1838
170,7002,1,4,28,dwell,6,5231
171,7002,1,4,29,embellish,5,2719
172,7002,1,4,31,under,6,2557
173,7002,1,4,32,innocent,4,1809
174,7002,1,4,33,brassiere,2,1912
175,7002,1,4,34,basin,6,2121
176,7002,1,4,35,intro,3,5466
177,7002,1,4,36,prostitute,5,1964
178,7002,1,4,37,template,4,1852
179,7002,1,4,38,distinct,6,2446
180,7002,1,4,39,haystack,7,1488
181,7002,1,4,40,fight,5,2059
182,7002,1,4,41,tournament,2,2005
183,7002,1,4,42,audacity,1,5300
184,7002,1,4,43,aim,6,3085
185,7002,1,4,44,foam,7,1627
186,7002,1,4,46,shake,7,2507
187,7002,1,4,47,comedian,2,2444
188,7002,1,4,48,bulky,7,2381
189,7002,1,4,49,swept,3,2319
190,7002,1,4,50,sofa,2,2456
191,7002,1,4,51,diagram,6,1981
192,7002,1,4,52,ground,7,2757
193,7002,1,4,53,learning,1,3230
194,7002,1,4,54,times,1,2322
195,7002,1,4,56,newish,2,4674
196,7002,1,4,57,belt,2,4429
197,7002,1,4,58,down,7,1822
198,7002,1,4,59,fallacy,1,3162
199,7002,1,4,60,reportedly,1,2050
200,7002,1,4,61,strung,6,2410
201,7002,1,4,62,radiator,1,1662
202,7002,1,4,63,scaffold,6,2254
203,7002,1,4,64,ethnic,5,4236
204,7002,1,4,65,momentary,6,2984
205,7002,1,4,66,twinge,7,1677
206,7002,1,4,67,chalet,4,2138
