ID,Concept,Familiarity,Pain,Smell,Color,Taste,Sound,Grasp,Motion,Familiarity_RT,Pain_RT,Smell_RT,Color_RT,Taste_RT,Sound_RT,Grasp_RT,Motion_RT,PC1_scores,PC2_scores
503,toilet,7.72,2.09,4.78,2.57,1.26,3.96,2.23,1.76,1640,1686,1352,1013,789,921,949,1456,0.23,-0.05
504,tomahawk,4.93,5.5,1.77,2.45,1.84,2.64,4.39,4.04,2017,1206,1189,1208,1101,1171,1183,1757,0.33,-1.06
505,tomato,7.72,1.38,3.69,7.26,5.91,1.21,7.92,1.6,1501,838,1175,1043,1327,1072,747,864,-1.45,1.75
506,tongs,7.06,3.35,1.58,3.04,1.75,2.83,7.5,3.39,1593,1073,1151,1137,1015,1046,842,1291,-0.53,-1
507,tortoise,6.82,3.08,3.42,3.74,2.35,1.52,4.25,4.18,1926,1447,1252,1269,1364,1360,1543,1695,-0.1,0.08
508,toy,7.53,2.75,2.05,6.05,2.22,4.38,7.43,5.36,1622,1195,1416,1401,1440,1355,1244,1165,0.09,0.12
509,tractor,7.05,4.35,4.22,4.35,1.48,6.13,1.05,5.48,1795,1431,1503,973,1298,1087,873,1186,1.81,0.34
510,trailer,7.09,2.91,2.62,2.13,1.29,4.41,1.3,4.36,1820,1256,1251,816,989,1689,1164,1086,0.81,-0.76
511,train,7.35,4.82,4.05,3.58,1.57,7.24,1.04,6.55,1720,1419,1527,969,1338,879,1090,1209,2.29,0.16
512,tray,7.34,2.63,1.62,2.04,1.5,2.26,6.48,3.19,1610,1157,1093,936,737,1102,1360,1145,-0.67,-1.23
513,tricycle,7.21,4.29,1.42,4.89,1.68,2.86,3.29,6.09,1689,1241,1036,1355,995,1548,1310,1333,0.64,-0.46
514,tripod,6.86,3.14,1.48,2.21,1.57,1.48,5.48,1.86,1812,1432,944,928,1144,877,1380,1005,-0.87,-1.31
515,trolley,6.92,3.52,2,4.78,1.32,5.48,2.09,6.85,1796,1788,1052,1193,750,1030,1515,1209,1.41,-0.26
516,trombone,6.99,3.42,2.63,5,1.73,7.08,4.48,3.75,1767,1147,1024,1273,996,958,1285,1248,0.92,-0.12
517,trousers,7.26,1.4,2.52,3.22,1.65,1.22,6.3,3.3,1681,973,1143,1373,971,986,1676,1458,-0.95,-0.53
518,trout,6.97,1.95,4.95,3.6,5.96,1.86,5.41,6.86,1671,780,1037,1420,1095,1513,1315,906,0.18,1.71
519,truck,7.38,5.64,4.17,4.92,1.2,6.39,1.48,5.95,1702,961,1482,1645,1119,1157,1105,1018,2.12,0.32
520,trumpet,7.13,3.04,2.61,5.2,1.67,7.17,6.04,3.5,1714,1166,1059,1344,810,916,1231,1060,0.63,-0.12
521,tuba,6.84,3.27,2.04,5.52,1.96,6.59,4.4,3.19,1768,901,1281,1510,1302,1370,1773,778,0.63,-0.17
522,tuna,7.36,2.08,6.22,4.33,6.17,1.61,4.55,4.91,1720,1320,881,1434,1029,1137,1770,1869,0.04,2.25
523,turkey,7.34,2.73,4.68,3.65,6.96,5,2.86,5.54,1505,1136,1359,1170,996,1051,1127,1151,0.99,1.8
524,turnip,6.74,1.81,3.75,5.44,4.54,1.33,6.64,1.48,1776,1109,1448,1038,1324,972,994,756,-1.17,1
525,turtle,7.23,2.6,3.57,3.96,2.73,1.5,4.54,4,1821,894,1284,1177,1349,779,1929,1615,-0.25,0.29
526,tuxedo,7.44,1.46,2.09,3.68,1.74,1.42,3.95,1.48,1601,1105,862,1042,1097,689,1379,1044,-0.98,-0.62
527,typewriter,6.87,2.13,1.48,2.28,1.17,4.67,2.29,3.54,1662,1205,843,1329,988,1173,1369,1081,0.33,-1.18
528,umbrella,7.49,3,1.24,5.16,1.36,2.74,7.35,2.46,1588,1120,670,1315,1429,1517,1036,989,-0.79,-0.77
529,unicycle,6.72,4.52,1.24,3.54,1.39,2.25,3.28,5.46,1963,1556,1105,1234,971,1128,2368,1370,0.43,-0.95
530,urn,6.26,2.68,2.91,3.13,1.64,1.54,4.24,1.38,1982,1045,1454,1057,844,996,1734,1195,-0.71,-0.57
531,van,7.54,4.45,3.09,3.7,1.54,4.52,1,6.17,1689,1124,1267,915,1057,1217,821,1187,1.5,-0.15
532,vase,7.49,2.84,2.04,4.36,1.77,2.38,5.68,1.15,1660,802,1183,975,1136,1266,1191,823,-0.83,-0.61
533,veil,6.83,1.55,2.05,2.4,2.7,1.41,5.78,2.91,1927,1037,748,1624,1099,1210,1373,1246,-0.97,-0.63
534,vest,7.35,2.04,2.23,4.08,1.59,1.1,6.35,1.52,1649,1119,759,907,1465,875,1444,1062,-1.22,-0.59
535,vine,6.95,3.35,2.62,4.52,2.04,1.59,5.4,1.71,1900,1576,1107,1338,1630,908,1368,811,-0.71,-0.29
536,violin,7.24,2.8,2.44,3.65,1.75,6.43,5.54,3.67,1596,1291,854,1056,1004,1329,1634,1350,0.51,-0.48
537,vulture,6.51,5.14,3.95,2.81,2.09,4.5,1.92,6.5,1778,1448,1318,1527,1056,1499,1282,969,1.64,0.05
538,wagon,7.09,4.08,2.04,5.08,1.56,4.44,3.15,5.8,1752,1351,876,1173,1382,1233,1371,1382,0.97,-0.24
539,wall,7.61,3.17,1.87,3.26,2.28,1.48,1.19,1,1636,1606,975,1364,1329,746,1454,810,-0.45,-0.72
540,walnut,7.38,1.96,3.35,3.12,6.68,1.91,7.82,1.52,1599,1025,1001,1108,1064,1207,870,1029,-1.28,0.86
541,walrus,6.58,4.28,4.38,2.67,2.64,5.36,1.44,4.65,1780,1273,1267,1295,1122,1164,1192,1290,1.43,0.25
542,wand,6.86,3.5,2,3.05,2.42,1.95,7.38,3.44,1837,1243,1192,1667,1161,1236,999,1298,-0.64,-0.68
543,wasp,7.07,5.77,1.32,5.41,2.25,3.09,3.95,6.91,1946,1143,1295,1235,1313,968,1453,842,0.98,-0.28
544,watergun,7.34,3.52,1.7,5.46,2.12,2.22,6.82,3.86,1670,1476,1119,927,1262,1004,1204,1181,-0.45,-0.28
545,whale,7.05,4.23,3.55,3.09,2.32,5.36,1.38,6.71,1673,1653,1507,1252,1032,1782,765,1353,1.72,0.11
546,wheel,7.55,3.96,2.96,2.22,1.48,3.33,3.96,7,1697,1246,1141,1285,778,1131,1603,1162,0.93,-0.52
547,wheelbarrow,7.04,4.05,2.54,3.04,1.43,2.92,2.21,4.14,1922,895,1115,1224,917,1105,1061,1502,0.53,-0.64
548,whip,7.03,7.81,1.63,2.36,1.46,5.42,7.82,5.33,1794,922,1152,1580,1209,924,1057,1255,1.08,-1.35
549,whistle,7.45,2.57,1.59,3.14,2.18,6.23,6.71,2.04,1752,1479,938,1042,1629,1353,916,1555,-0.12,-0.89
550,whiteboard,7.68,1.9,3.77,3.04,1.64,2,2.72,1.13,1681,1044,1036,1455,1040,1148,1375,849,-0.5,-0.23
551,willow,6.34,2.17,3,3.82,1.82,1.41,2.38,2.75,1938,1310,1319,1345,929,1161,984,1029,-0.33,-0.19
552,woodpecker,6.84,3.76,2.83,4.91,2.88,6.32,3.58,6.45,1811,1019,1727,1481,1195,1278,1249,914,1.41,0.39
553,worm,7.17,1.76,2.68,2.18,1.64,1.09,6.27,5.04,1600,763,1568,936,932,907,1270,1048,-0.58,-0.63
554,wrench,7.13,6.14,1.36,2.45,1.3,2.88,7.5,3.25,1672,1112,999,1467,871,1524,609,1172,-0.09,-1.49
555,yacht,6.78,3.13,2.57,3.54,1.71,3.64,1.14,4.92,1742,1355,1244,1309,1340,1305,767,1059,0.79,-0.32
556,yam,7.16,1.62,5.22,5.67,6.96,1.38,6.83,1.95,1614,908,1175,984,1017,918,1122,1121,-1.04,2.22
557,zebra,6.83,3.32,3.96,5.18,3.32,3.52,1.38,5.72,1617,1519,1022,1277,1286,1359,1294,1117,1.03,0.97
558,zipper,7.52,3.57,1.27,2.71,1.73,2.54,6.96,2.79,1613,932,973,1185,1040,710,933,1330,-0.63,-1.22
559,zucchini,7.29,1.71,2.91,5.29,6.81,1.33,7.23,1.17,1582,1125,1593,1427,1036,1052,749,1140,-1.47,1.23
