ID,Concept,Familiarity,Pain,Smell,Color,Taste,Sound,Grasp,Motion,Familiarity_RT,Pain_RT,Smell_RT,Color_RT,Taste_RT,Sound_RT,Grasp_RT,Motion_RT,PC1_scores,PC2_scores
357,perch,5.73,2.43,3.1,2.57,2.09,1.64,3.16,2.26,2106,1279,1425,1758,1172,1282,1601,1031,-0.42,-0.42
358,pheasant,5.69,2.6,3.67,3.36,4.45,3.96,2.5,4.74,2079,1211,1359,1274,1128,1410,1744,1390,0.61,0.71
359,piano,7.52,3.09,2.05,3.08,1.83,6.12,1.5,3,1600,1217,1055,1439,827,1665,1820,1189,0.84,-0.7
360,pickle,7.53,1.74,6.39,4.85,5.45,1.42,7.95,1.75,1478,1456,1110,845,1541,1441,1044,835,-1.02,2.01
361,pie,7.61,1.82,6.43,4.64,7.5,1.88,6.05,1.63,1526,817,1242,1585,892,1006,1305,941,-0.74,2.52
362,pier,7.2,1.86,3.79,2.67,1.27,2.7,2,1.33,1797,1263,1656,1111,840,1093,1151,1004,-0.23,-0.38
363,pig,7.15,3.21,5.26,5.05,4.91,4.63,1.77,5.13,1687,948,1496,775,993,1295,1503,1170,1.18,1.76
364,pigeon,7.35,2.67,3.82,2.83,3.08,4.18,4.11,7.04,1751,1481,1409,1034,1352,1237,1232,900,0.93,0.4
365,pillow,7.5,1.52,1.77,3.05,1.91,1.87,5.67,2.05,1630,877,1180,1201,915,808,1390,1176,-1.03,-0.83
366,pin,7.36,5.17,1.22,2.45,1.96,1.25,7.09,1.43,1633,1411,909,1217,1001,968,1164,917,-0.89,-1.41
367,pine,7.02,3.17,6.19,4.74,2.29,2.13,3.87,1.38,1953,1085,816,1227,1249,1147,1077,1122,-0.11,1.08
368,pineapple,7.56,2.41,6.17,6.57,7.12,1.61,6.79,1.83,1638,1121,1376,938,947,1344,1136,1043,-0.77,2.74
369,pistol,6.96,7.32,2.67,2.88,1.65,6.95,7,3.96,1785,1046,1502,1023,1014,1335,1612,1495,1.27,-0.86
370,plate,7.68,3.3,2.43,3.13,1.59,3.38,7.28,2.11,1641,1236,1326,1178,746,1349,859,1330,-0.54,-0.8
371,platypus,6.2,3.24,3.6,3.29,2.36,2.42,2.08,5.62,1817,1406,1236,1148,931,1644,1380,1401,0.66,0.16
372,pliers,7.23,5.21,1.79,2.23,1.21,2.04,7.18,3.52,1827,1095,1329,722,965,1554,1163,1126,-0.28,-1.34
373,plum,7.57,1.62,4.09,5.73,7.26,1.22,7.65,1.5,1528,935,1186,1268,953,957,619,941,-1.39,1.87
374,pony,7.24,4.04,5.25,4.22,2.39,4.45,1.54,6.57,1680,1094,1296,1266,1752,1026,1070,1073,1.64,0.97
375,popsicle,7.6,1.83,3.77,6.67,7,1.39,7.23,1.96,1640,1609,1585,1106,762,860,925,919,-1.21,1.93
376,porcupine,6.99,6.32,2.55,2.7,1.73,2.35,2.15,5.83,1725,1134,1329,1370,1415,1594,1257,1226,1.1,-0.66
377,pot,7.45,3.87,2.86,3.09,2.32,4.36,6.67,1.45,1839,1151,1398,1551,1050,1330,1421,928,-0.25,-0.53
378,potato,7.67,2.04,3.96,2.08,7.15,1.13,7.94,1.61,1587,1211,1357,1090,998,841,772,1107,-1.37,0.95
379,projector,7.36,2.55,1.5,3.76,1.69,2.9,3.42,2.08,1822,1299,955,1227,1214,1600,1101,1148,-0.38,-0.83
380,prune,6.87,1.67,4.15,4.36,4.91,1.17,6.52,2.16,1808,1296,1106,1273,1356,1064,1134,1038,-1.06,1.04
381,pumpkin,7.41,2.95,4.39,6.95,5.82,1.39,4.68,1.27,1702,1476,1361,802,1096,1361,1725,979,-0.72,1.85
382,pylon,4.3,2.96,2.56,3.4,1.68,2.54,2.41,2.21,2068,1319,1106,1471,1554,1403,1263,1265,-0.11,-0.55
383,pyramid,6.92,2.86,1.74,3.16,1.35,1.24,1.13,1.09,1839,1403,1443,1669,1102,998,1128,1048,-0.51,-1.01
