Word	VersionNum	WordType	Block	Word_ID_unique	RTclean_mean	RTclean_sd	Rtclean_n	zRTclean_mean	zRTclean_sd	zRTclean_n	ACC	ACC_n	Concrete_rating
acquit	6	Abstract	2	60421	1098.57	446.88	23	0.19	0.99	23	77.42	31	2.13
acquittal	9	Abstract	3	90630	1085.67	436.14	27	0.31	1.12	27	83.33	30	2.38
acrobatics	3	Concrete	2	30361	1114.87	318.63	23	0.44	0.75	23	80.65	31	4.36
act	5	Abstract	4	50905	1099.94	442.69	18	0.33	1.28	18	56.25	32	2.46
actionable	4	Abstract	1	40170	1168.85	486.49	27	0.46	1.07	27	84.38	32	2.04
activation	8	Abstract	4	80913	984.46	331.04	26	0.03	0.99	26	87.10	31	2.41
actively	6	Abstract	1	60206	1144.00	563.68	25	0.07	1.00	25	80.65	31	2.41
activism	7	Abstract	4	70996	906.82	296.46	28	-0.21	0.74	28	90.32	31	1.79
actuality	9	Abstract	4	90919	913.58	320.18	26	-0.12	0.94	26	90.00	30	1.96
actually	10	Abstract	4	100941	811.16	187.33	31	-0.53	0.64	31	96.88	32	1.37
actuarial	8	Abstract	3	80749	1122.46	477.80	26	0.31	1.08	26	87.10	31	2.33
acupuncture	1	Concrete	4	10816	1010.33	286.38	30	0.27	1.04	30	96.77	31	3.83
acutely	6	Abstract	4	60963	964.73	402.43	30	-0.28	0.88	30	96.77	31	1.83
acuteness	10	Abstract	3	100628	1023.10	273.18	30	0.11	1.01	30	93.75	32	2.41
adage	5	Abstract	1	50214	1068.25	334.25	28	0.27	0.98	28	90.63	32	1.86
adamant	8	Abstract	1	80136	1057.59	373.00	29	0.02	0.88	29	93.55	31	1.65
adamantly	5	Abstract	2	50408	944.23	278.51	31	-0.22	0.73	31	96.88	32	1.46
adapt	4	Abstract	4	40967	907.45	265.26	31	-0.02	0.94	31	100.00	31	2.41
adaptable	1	Abstract	2	10492	1028.39	417.99	31	-0.03	0.98	31	100.00	31	1.85
adaptation	7	Abstract	3	70649	1078.31	358.16	29	0.26	1.00	29	93.55	31	2.04
adapter	1	Concrete	3	10507	961.04	370.04	26	-0.17	0.81	26	87.10	31	3.82
addictive	10	Abstract	3	100730	1087.82	400.97	28	0.24	1.01	28	87.50	32	2.22
additional	8	Abstract	2	80483	1000.10	362.15	29	-0.03	0.79	29	93.55	31	2.43
additive	8	Concrete	3	80511	1427.40	450.79	5	0.80	0.54	5	16.13	31	3.56
adequacy	10	Abstract	3	100706	905.28	342.90	29	-0.37	0.82	29	93.75	32	1.86
adequate	4	Abstract	3	40745	892.34	267.61	32	-0.21	0.85	32	100.00	32	1.97
adequately	10	Abstract	1	100226	1037.59	453.56	32	-0.04	1.03	32	100.00	32	1.72
adherence	7	Abstract	2	70376	988.60	304.96	30	0.02	0.77	30	96.77	31	1.5
adhesive	10	Concrete	4	100820	1057.21	411.82	14	0.23	0.86	14	43.75	32	4.35
adjacent	7	Concrete	4	70798			0			0	0.00	31	3.63
adjective	4	Abstract	1	40162	1095.09	465.37	22	0.06	1.12	22	68.75	32	2.43
adjudicate	8	Abstract	4	80889	1026.75	487.56	28	0.20	1.28	28	90.32	31	2.12
adjudication	2	Abstract	4	20978	1144.64	461.08	22	0.72	1.21	22	77.42	31	2.35
adjunct	7	Abstract	1	70153	1067.72	364.52	25	-0.01	0.97	25	83.87	31	2.19
administrator	10	Concrete	1	100068	887.13	262.65	31	-0.42	0.57	31	96.88	32	3.89
admirably	3	Abstract	2	30430	916.03	360.70	31	-0.40	0.75	31	100.00	31	1.5
admiral	8	Concrete	3	80522	934.67	285.97	15	-0.12	0.57	15	51.61	31	4.11
admire	6	Abstract	2	60382	794.93	176.32	27	-0.58	0.61	27	90.32	31	2.04
