Word	VersionNum	WordType	Block	Word_ID_unique	RTclean_mean	RTclean_sd	Rtclean_n	zRTclean_mean	zRTclean_sd	zRTclean_n	ACC	ACC_n	Concrete_rating
choppers	5	Concrete	1	50033	1097.18	415.75	28	0.26	0.94	28	90.63	32	3.93
chopstick	6	Concrete	2	60315	789.19	310.15	31	-0.72	0.74	31	100.00	31	4.93
chopsticks	10	Concrete	3	100608	973.74	450.03	31	-0.22	0.94	31	96.88	32	5
chord	5	Concrete	2	50367	944.13	263.00	30	-0.15	0.87	30	93.75	32	4.29
choreographer	2	Concrete	3	20502	910.21	330.41	29	-0.25	0.87	29	93.55	31	4.23
chorus	9	Concrete	4	90841	931.27	297.10	22	-0.09	0.87	22	73.33	30	4.03
chose	3	Abstract	4	30892	912.88	349.23	26	-0.14	0.92	26	83.87	31	2.48
chosen	3	Abstract	2	30476	1084.74	361.21	27	0.31	0.96	27	87.10	31	2.33
chowder	5	Concrete	2	50355	792.93	182.88	30	-0.70	0.58	30	93.75	32	4.7
chrome	10	Concrete	3	100581	1035.69	385.43	29	0.09	0.83	29	96.88	32	4.5
chromosome	10	Concrete	1	100062	1050.91	364.66	22	0.01	0.71	22	71.88	32	4.11
chronic	2	Abstract	4	20979	1125.74	353.00	23	0.44	0.88	23	74.19	31	2.17
chronograph	1	Concrete	4	10834	1011.79	424.31	29	0.01	0.94	29	93.55	31	4.19
chronologically	2	Abstract	1	20149	1357.06	492.22	18	1.05	1.26	18	61.29	31	2.17
chronology	8	Abstract	4	80916	1220.64	312.01	22	0.84	1.06	22	70.97	31	2.29
chronometer	6	Concrete	1	60113	1151.40	440.57	30	0.20	0.84	30	96.77	31	4.11
chrysanthemum	5	Concrete	3	50513	1235.41	446.79	29	0.70	1.19	29	87.50	32	4.57
chuck	3	Concrete	3	30564	1146.83	537.80	29	0.42	1.21	29	93.55	31	3.82
chug	7	Concrete	2	70270	1009.87	430.93	30	0.13	1.10	30	96.77	31	3.68
chum	3	Concrete	2	30346	967.79	289.44	28	-0.02	1.04	28	90.32	31	3.81
chummy	2	Abstract	3	20654	1037.00	238.74	27	0.31	0.80	27	87.10	31	1.93
churchgoer	5	Concrete	3	50521	1116.40	462.58	30	0.31	1.13	30	96.88	32	3.56
churchyard	1	Concrete	1	10080	1021.19	337.16	31	-0.01	0.84	31	100.00	31	4.93
cigarette	3	Concrete	3	30603	790.65	191.39	31	-0.65	0.58	31	100.00	31	4.88
circa	4	Abstract	2	40486	1132.04	396.21	23	0.55	1.06	23	71.88	32	2.12
circuit	5	Concrete	1	50065	1102.71	428.47	28	0.25	0.93	28	90.63	32	3.83
circuitous	5	Abstract	1	50231	1229.07	474.77	30	0.61	0.97	30	96.88	32	2.29
circuitry	9	Concrete	4	90791	1369.29	361.61	17	1.24	0.95	17	60.00	30	3.85
circumcise	3	Concrete	2	30253	1256.60	409.44	20	0.77	0.80	20	67.74	31	3.87
circumcision	1	Concrete	4	10873	1193.65	412.12	26	0.70	1.21	26	87.10	31	4.13
circumference	4	Concrete	4	40752	1141.14	373.97	22	0.90	1.22	22	67.74	31	3.96
circumscribed	2	Abstract	3	20742	1302.00	474.85	20	1.05	1.14	20	64.52	31	1.74
circumstance	9	Abstract	1	90234	1170.67	360.77	27	0.26	0.77	27	90.00	30	1.77
circumvent	10	Abstract	1	100153	1176.52	409.34	23	0.41	0.83	23	75.00	32	2.25
citizen	6	Concrete	4	60772	877.10	288.36	29	-0.39	0.63	29	93.55	31	4.43
city	9	Concrete	2	90316	791.10	273.84	29	-0.64	0.90	29	100.00	30	4.79
civic	5	Abstract	1	50242	1141.13	362.48	16	0.67	1.24	16	50.00	32	2.45
civics	8	Abstract	2	80437	1162.38	313.94	13	0.63	1.11	13	38.71	31	2.21
civility	2	Abstract	4	20960	899.66	315.93	29	-0.23	0.88	29	96.77	31	1.62
civilize	1	Abstract	1	10139	1124.83	366.69	29	0.32	0.94	29	93.55	31	1.9
civilized	5	Abstract	2	50379	1143.06	497.96	31	0.34	1.23	31	96.88	32	1.93
civilizing	8	Abstract	4	80895	1055.07	395.89	29	0.19	0.88	29	93.55	31	2
civilly	8	Abstract	1	80143	1213.93	358.66	28	0.53	1.08	28	90.32	31	1.73
clambake	3	Concrete	1	30002	1223.79	398.65	24	0.41	0.87	24	77.42	31	3.62
clamp	2	Concrete	2	20364	966.28	460.30	29	-0.16	0.96	29	93.55	31	4.53
clamshell	1	Concrete	2	10287	900.65	269.88	31	-0.30	0.81	31	100.00	31	4.82
clang	5	Concrete	2	50277	993.24	278.55	29	-0.07	0.82	29	90.63	32	3.96
clanking	8	Concrete	1	80094	1236.00	373.05	20	0.55	0.92	20	67.74	31	3.78
clapped	3	Concrete	1	30032	959.20	335.37	30	-0.33	0.88	30	96.77	31	3.88
clapping	5	Concrete	2	50373	842.50	231.71	30	-0.42	0.89	30	96.88	32	4.32
clarify	4	Abstract	4	40903	954.13	316.59	30	0.08	0.97	30	93.75	32	2.07
clarinet	9	Concrete	3	90551	898.97	257.97	30	-0.23	0.80	30	100.00	30	4.92
clarity	2	Abstract	4	21000	874.25	240.97	28	-0.21	0.86	28	93.55	31	2
clasp	6	Concrete	3	60600	968.64	304.60	28	-0.12	0.76	28	90.32	31	4.41
clasping	3	Concrete	2	30366	1012.19	352.93	26	0.04	1.06	26	83.87	31	3.63
class	8	Concrete	3	80540	864.50	300.26	24	-0.61	0.64	24	77.42	31	3.85
classed	9	Abstract	2	90473	1295.76	389.70	25	1.23	1.24	25	76.67	30	2.12
classical	10	Abstract	2	100450	1075.77	370.80	26	0.13	0.97	26	81.25	32	2.18
classically	6	Abstract	1	60154	1129.16	405.51	31	0.10	0.98	31	100.00	31	1.85
classify	4	Abstract	2	40385	1038.29	464.47	31	0.13	1.05	31	96.88	32	2.41
classless	7	Abstract	1	70127	1189.43	335.13	30	0.47	1.09	30	96.77	31	1.81
classmate	9	Concrete	4	90818	799.38	197.81	29	-0.52	0.65	29	96.67	30	4.32
classroom	7	Concrete	4	70809	779.39	348.35	31	-0.63	0.99	31	100.00	31	4.76
classy	5	Abstract	2	50469	1143.96	425.91	28	0.38	0.97	28	90.63	32	2.12
claustrophobic	10	Abstract	2	100405	1493.59	526.76	22	1.48	1.25	22	75.00	32	2
cleaning	2	Concrete	3	20559	945.41	338.04	29	-0.18	0.91	29	93.55	31	3.71
cleanness	8	Concrete	3	80573	1415.43	649.66	7	1.18	1.23	7	22.58	31	3.61
clearance	10	Abstract	4	100888	1150.48	515.74	23	0.32	1.23	23	75.00	32	2.19
clearing	4	Concrete	1	40111	1582.50	629.13	8	1.32	1.51	8	25.00	32	3.79
clearly	8	Abstract	2	80449	1036.52	384.87	29	0.07	1.04	29	93.55	31	2.04
clearness	1	Abstract	1	10179	1120.42	413.61	26	0.36	1.15	26	80.65	31	2.48
cleat	2	Concrete	2	20303	1016.08	382.92	24	0.07	0.79	24	80.65	31	4.5
cleavage	8	Concrete	4	80806	939.93	218.32	30	-0.04	0.79	30	96.77	31	4.64
cleavers	7	Concrete	4	70794	1067.28	301.07	29	0.45	0.96	29	93.55	31	4.56
clef	10	Concrete	2	100357	1063.21	360.55	28	0.30	1.06	28	87.50	32	4.35
cleft	1	Concrete	2	10330	1041.69	335.26	29	0.16	0.84	29	93.55	31	4.31
clench	8	Concrete	4	80842	1069.17	345.49	23	0.19	0.92	23	77.42	31	4.25
clergy	3	Concrete	4	30870	873.92	172.34	24	-0.22	0.64	24	77.42	31	4.03
clergyman	5	Concrete	3	50548	844.07	194.42	30	-0.51	0.50	30	93.75	32	4.73
cleric	7	Concrete	1	70110	1119.50	379.06	20	0.13	0.96	20	67.74	31	4.39
clever	6	Abstract	1	60245	1042.11	302.52	28	-0.05	0.88	28	90.32	31	1.79
cleverly	8	Abstract	2	80381	847.03	156.20	30	-0.44	0.38	30	96.77	31	2.14
cleverness	4	Abstract	4	40936	922.59	343.15	29	-0.10	1.04	29	90.63	32	2.07
cliche	10	Abstract	4	100953	984.04	211.57	25	0.12	0.76	25	84.38	32	2.33
climb	2	Concrete	3	20621	835.82	390.71	28	-0.66	0.84	28	90.32	31	4.11
climbing	1	Concrete	1	10042	914.06	372.90	31	-0.45	0.88	31	100.00	31	4.07
clincher	8	Abstract	1	80187	1234.75	444.96	16	0.69	1.27	16	51.61	31	2.15
clingy	10	Abstract	1	100246	1038.37	323.05	19	-0.14	0.45	19	62.50	32	2.45
clinic	1	Concrete	4	10846	861.03	227.51	31	-0.27	0.73	31	100.00	31	4.24
clinically	1	Abstract	4	10923	1253.17	429.31	24	0.69	1.14	24	83.87	31	2.18
clinking	7	Concrete	1	70026	1155.48	369.99	23	0.32	1.02	23	70.97	31	3.74
clip	3	Concrete	4	30873	768.45	183.06	29	-0.65	0.62	29	93.55	31	4.37
clipboard	1	Concrete	2	10308	836.79	288.07	29	-0.57	0.89	29	93.55	31	4.93
clipper	3	Concrete	2	30316	790.29	257.41	31	-0.74	0.60	31	100.00	31	4.3
clipping	1	Concrete	1	10110	1082.12	355.16	26	0.18	1.09	26	83.87	31	4
clips	4	Concrete	1	40074	981.07	360.99	30	-0.17	1.02	30	87.50	32	4.3
clitoris	2	Concrete	4	20758	976.90	330.90	30	0.13	0.87	30	93.55	31	4.93
cloak	2	Concrete	1	20065	752.69	204.53	29	-0.88	0.57	29	93.55	31	4.71
cloakroom	2	Concrete	2	20316	892.57	357.54	30	-0.38	0.87	30	96.77	31	4.48
clobber	7	Concrete	1	70072	1210.77	433.99	26	0.36	0.96	26	87.10	31	3.55
clone	8	Concrete	1	80035	1028.52	361.58	29	-0.01	1.07	29	90.32	31	4.34
closely	6	Abstract	4	60934	973.07	354.04	28	-0.15	1.16	28	90.32	31	2.46
closeness	7	Abstract	2	70401	1040.19	354.74	26	0.18	0.86	26	87.10	31	2.39
closure	2	Abstract	4	20918	910.96	336.84	26	-0.09	0.87	26	87.10	31	1.78
clothes	All	Concrete											4.76
clothesline	4	Concrete	2	40305	970.35	281.37	31	0.00	1.00	31	96.88	32	4.86
clothespin	4	Concrete	3	40536	862.84	234.67	31	-0.36	0.56	31	100.00	32	4.41
clothier	7	Concrete	3	70508	958.62	313.61	21	0.00	1.00	21	67.74	31	3.69
clothing	3	Concrete	1	30080	731.42	226.53	31	-1.04	0.50	31	100.00	31	4.43
cloudburst	5	Concrete	4	50783	1000.33	309.83	27	0.12	1.13	27	87.50	32	3.78
cloudiness	1	Concrete	1	10113	1139.35	525.82	20	0.44	1.17	20	70.97	31	3.68
cloudy	8	Concrete	2	80312	984.00	315.02	26	-0.14	0.85	26	83.87	31	4
clover	3	Concrete	1	30125	949.42	354.06	31	-0.28	1.10	31	96.77	31	4.69
cloverleaf	7	Concrete	1	70081	900.60	264.76	30	-0.40	0.74	30	96.77	31	4.86
clubfoot	2	Concrete	4	20812	909.43	331.48	30	-0.25	0.91	30	96.77	31	4.46
clubhouse	8	Concrete	2	80334	788.10	249.76	31	-0.71	0.57	31	100.00	31	4.61
clueless	10	Abstract	2	100492	1047.67	353.62	30	0.11	0.94	30	93.75	32	1.97
clumsily	8	Abstract	1	80201	941.20	301.52	30	-0.29	0.83	30	96.77	31	2.3
coachman	6	Concrete	4	60864	838.29	401.21	31	-0.62	0.79	31	100.00	31	4.12
coagulation	3	Concrete	4	30869	1179.73	348.05	15	0.86	0.98	15	51.61	31	3.62
coalmine	4	Concrete	2	40292	943.40	234.53	30	-0.11	0.67	30	93.75	32	4.8
coaster	2	Concrete	1	20011	981.37	357.33	30	-0.26	0.74	30	96.77	31	4.68
coastguard	7	Concrete	4	70771	848.84	232.77	31	-0.35	0.58	31	100.00	31	4.45
coastline	7	Concrete	1	70098	968.38	263.26	26	-0.18	0.94	26	87.10	31	4.54
coated	2	Concrete	3	20590	1083.88	448.16	25	0.20	1.18	25	77.42	31	3.59
coauthor	2	Concrete	1	20121	1082.44	362.08	27	0.10	0.87	27	87.10	31	3.79
coaxial	3	Concrete	1	30047	1269.82	378.56	11	0.62	1.14	11	35.48	31	3.76
cobblestone	2	Concrete	3	20602	980.00	444.28	30	-0.10	1.05	30	96.77	31	4.79
cobweb	6	Concrete	2	60274	912.83	429.93	30	-0.39	1.00	30	96.77	31	4.92
cocaine	5	Concrete	1	50072	864.56	265.52	32	-0.41	0.75	32	100.00	32	4.52
cockatoo	9	Concrete	2	90290	971.76	341.09	29	-0.06	0.96	29	96.67	30	4.73
cockeyed	7	Concrete	3	70592	1100.39	359.69	23	0.47	1.18	23	70.97	31	3.76
cockfight	9	Concrete	1	90045	1077.90	230.30	30	0.15	0.79	30	100.00	30	4.43
cocking	1	Concrete	3	10527	1263.25	484.95	20	0.88	1.23	20	70.97	31	3.65
cockroach	9	Concrete	2	90334	744.77	183.28	30	-0.80	0.44	30	100.00	30	4.96
cocktail	9	Concrete	1	90008	897.97	357.46	30	-0.59	0.83	30	100.00	30	4.4
cocky	6	Abstract	3	60629	980.38	274.35	24	0.00	0.85	24	77.42	31	2.31
coconut	6	Concrete	2	60356	797.84	347.72	31	-0.72	0.70	31	100.00	31	4.79
codpiece	7	Concrete	2	70256	1100.59	334.55	27	0.43	0.82	27	90.32	31	4.22
coerce	8	Abstract	3	80727	940.23	322.29	30	-0.14	1.06	30	96.77	31	2.04
coercion	8	Abstract	3	80718	1047.44	421.51	27	0.16	1.18	27	83.87	31	1.71
coercive	8	Abstract	2	80397	1061.03	381.58	30	0.21	0.89	30	96.77	31	2.07
coexist	8	Abstract	2	80380	1014.83	414.01	29	0.12	1.02	29	93.55	31	2.25
coffeepot	7	Concrete	3	70548	843.32	227.19	31	-0.45	0.56	31	100.00	31	4.64
coffer	4	Concrete	3	40609	925.37	276.49	27	-0.09	0.89	27	84.38	32	3.8
coffin	5	Concrete	1	50074	823.58	203.68	31	-0.52	0.69	31	96.88	32	4.86
cognitive	1	Abstract	1	10194	918.74	257.17	27	-0.25	0.80	27	87.10	31	1.63
cogwheel	10	Concrete	4	100872	850.97	288.12	31	-0.43	0.60	31	96.88	32	4.69
coherency	10	Abstract	3	100670	1052.30	343.08	27	0.12	0.72	27	84.38	32	1.96
coherent	9	Abstract	4	90994	1031.54	355.63	28	0.21	0.88	28	93.33	30	2
cohesion	4	Abstract	3	40652	1115.75	403.96	28	0.60	1.27	28	90.63	32	2.16
coil	5	Concrete	2	50353	930.83	381.09	30	-0.37	0.88	30	93.75	32	4.56
coiled	6	Concrete	2	60271	1008.78	395.68	27	-0.15	0.81	27	87.10	31	3.83
coinage	9	Concrete	1	90055	1241.10	443.11	21	0.54	1.25	21	70.00	30	3.88
coincide	3	Abstract	4	30950	1099.80	316.27	30	0.44	0.70	30	96.77	31	2.26
coincident	9	Abstract	3	90746	1153.59	381.23	29	0.54	1.02	29	96.67	30	1.92
coincidental	10	Abstract	4	100933	1019.77	428.28	31	0.04	0.99	31	96.88	32	1.7
coincidentally	8	Abstract	4	80903	915.10	417.94	31	-0.27	0.85	31	100.00	31	1.48
coke	2	Concrete	4	20823	791.87	299.10	30	-0.63	0.94	30	96.77	31	4.83
colander	1	Concrete	1	10013	1043.90	360.66	30	0.13	1.02	30	96.77	31	4.21
coleslaw	5	Concrete	2	50330	915.10	302.55	31	-0.19	1.06	31	100.00	32	4.67
coliseum	4	Concrete	2	40283	1045.93	341.08	27	0.07	0.80	27	84.38	32	4.93
collage	10	Concrete	2	100360	1023.48	422.42	29	-0.03	1.05	29	90.63	32	4.6
collagen	6	Concrete	4	60773	1115.21	384.81	29	0.33	0.85	29	93.55	31	3.67
collapse	9	Concrete	2	90300	1085.86	392.86	21	0.44	1.04	21	70.00	30	3.67
collarbone	2	Concrete	2	20265	812.90	210.52	31	-0.62	0.38	31	100.00	31	4.85
collate	4	Abstract	3	40647	967.46	313.81	28	0.16	1.06	28	87.50	32	2.44
colleague	9	Concrete	2	90305	898.59	267.22	27	-0.25	0.79	27	90.00	30	3.79
collection	3	Concrete	1	30027	1092.40	402.56	20	-0.11	0.75	20	67.74	31	4.04
collector	10	Concrete	2	100371	924.62	543.06	29	-0.43	0.97	29	90.63	32	4.1
college	1	Concrete	1	10049	926.42	304.93	31	-0.30	1.01	31	100.00	31	4.62
collie	4	Concrete	4	40845	943.29	229.15	17	0.08	0.79	17	53.13	32	4.77
collision	4	Concrete	3	40556	1058.36	331.02	25	0.35	1.08	25	78.13	32	3.61
colon	3	Concrete	3	30579	877.63	319.51	30	-0.44	0.64	30	96.77	31	4.66
colonist	9	Concrete	1	90033	1081.24	418.22	29	0.03	1.11	29	96.67	30	3.8
colony	3	Concrete	4	30756	947.97	391.87	29	-0.09	1.10	29	93.55	31	3.77
coloring	10	Concrete	2	100281	1035.70	479.55	30	0.07	1.06	30	93.75	32	3.59
colors	5	Concrete	1	50081	817.14	245.39	28	-0.61	0.71	28	90.63	32	4.17
colossally	7	Abstract	2	70430	1001.68	354.73	28	0.06	0.94	28	93.55	31	2.15
columbine	8	Concrete	1	80071	1177.57	414.47	21	0.56	1.17	21	70.97	31	3.68
column	2	Concrete	2	20339	966.43	384.91	28	-0.11	0.87	28	90.32	31	4.48
columnist	4	Concrete	2	40323	1025.71	437.97	31	-0.01	0.95	31	96.88	32	4.14
comb	4	Concrete	1	40075	776.71	200.83	31	-0.78	0.54	31	96.88	32	5
combative	7	Abstract	1	70131	1226.65	355.48	20	0.62	1.17	20	67.74	31	2.28
combing	3	Concrete	1	30035	1108.67	468.12	27	0.06	1.17	27	83.87	31	3.72
combustion	5	Concrete	2	50333	1185.70	461.65	20	0.65	1.10	20	62.50	32	3.86
comeback	10	Abstract	2	100379	1159.62	478.78	26	0.42	0.89	26	81.25	32	2.23
comedienne	7	Concrete	1	70095	1286.55	311.96	22	0.91	1.05	22	70.97	31	3.92
comes	2	Abstract	4	20948	974.93	322.49	29	0.03	0.96	29	93.55	31	2.27
comfortably	6	Abstract	1	60186	971.41	289.43	29	-0.30	0.81	29	96.77	31	2.1
comforter	6	Concrete	2	60262	994.85	316.97	26	-0.03	0.80	26	83.87	31	4.7
comforting	7	Abstract	2	70468	920.57	291.02	30	-0.22	0.74	30	96.77	31	2.41
commandant	10	Concrete	1	100097	1118.09	546.81	23	0.14	1.15	23	71.88	32	3.77
commandeer	7	Concrete	1	70030	1123.17	408.48	24	0.20	1.16	24	74.19	31	3.7
commander	1	Concrete	2	10258	817.06	265.39	31	-0.59	0.73	31	100.00	31	4.31
commando	7	Concrete	4	70751	1071.39	396.37	23	0.42	1.22	23	74.19	31	3.9
commemorate	5	Abstract	2	50397	996.31	290.56	29	0.08	0.93	29	93.75	32	2.2
commend	9	Abstract	1	90174	1102.74	380.10	27	0.17	1.03	27	90.00	30	2.14
commendable	2	Abstract	3	20712	965.00	295.57	31	-0.09	0.71	31	100.00	31	2.21
commendation	10	Abstract	1	100199	1268.65	495.06	26	0.79	1.22	26	81.25	32	2.44
commensurate	4	Abstract	3	40640	1155.96	334.48	27	0.63	0.99	27	87.50	32	2.04
commentate	1	Abstract	4	10968	1255.48	537.18	27	0.87	1.18	27	83.87	31	2.41
commentator	10	Concrete	4	100754	941.94	317.74	31	-0.09	0.87	31	96.88	32	4.15
commercialism	3	Abstract	2	30397	1141.27	448.67	22	0.57	1.11	22	74.19	31	2.07
commiserate	1	Abstract	1	10231	1337.00	528.08	28	0.80	1.04	28	90.32	31	1.9
commissary	4	Concrete	2	40325	1237.73	372.83	11	0.93	1.22	11	34.38	32	3.58
commit	4	Abstract	1	40211	1215.24	352.00	25	0.42	0.94	25	78.13	32	2.17
committee	8	Concrete	2	80291	947.64	312.01	28	-0.18	0.79	28	90.32	31	4.14
committeewoman	1	Concrete	4	10875	941.50	301.44	30	-0.08	0.67	30	96.77	31	4.33
commode	3	Concrete	3	30529	1109.59	307.55	17	0.30	0.70	17	54.84	31	4.54
commodore	10	Concrete	2	100252	1123.05	466.46	20	0.25	0.95	20	62.50	32	3.88
commonly	6	Abstract	4	60926	903.60	348.96	30	-0.35	1.01	30	96.77	31	1.73
commonness	2	Abstract	3	20672	973.21	282.77	29	0.01	0.84	29	93.55	31	1.74
communism	3	Abstract	4	30920	1040.85	343.61	20	0.35	1.02	20	64.52	31	1.86
companion	6	Concrete	3	60509	944.20	293.31	20	-0.13	0.61	20	64.52	31	3.75
company	10	Concrete	3	100571	1040.65	370.38	23	0.03	0.84	23	75.00	32	4.11
comparable	10	Abstract	1	100158	1031.42	469.43	26	-0.09	1.01	26	81.25	32	2.31
comparative	1	Abstract	1	10216	1073.55	372.01	31	0.14	1.01	31	100.00	31	1.74
comparison	2	Abstract	4	20907	1086.28	495.95	29	0.30	1.15	29	93.55	31	2
compartment	10	Concrete	2	100321	1104.36	467.51	28	0.32	1.05	28	87.50	32	3.57
compass	8	Concrete	1	80041	970.62	353.50	29	-0.14	1.01	29	93.55	31	4.66
compasses	3	Concrete	1	30066	1058.04	405.72	25	0.06	1.22	25	80.65	31	4.35
compatible	10	Abstract	2	100449	1070.90	369.89	31	0.11	0.72	31	96.88	32	2.31
compatibly	3	Abstract	2	30403	1120.86	428.54	29	0.24	1.05	29	93.55	31	1.64
compel	4	Abstract	1	40220	1082.13	493.53	30	0.05	0.89	30	96.88	32	1.83
compellingly	5	Abstract	1	50129	1075.06	447.64	32	0.20	1.05	32	100.00	32	1.42
competency	5	Abstract	1	50190	1098.00	460.48	28	0.31	1.12	28	90.63	32	1.81
competent	10	Abstract	3	100716	1020.30	428.57	27	0.11	1.15	27	84.38	32	1.93
competently	2	Abstract	4	20970	911.07	417.63	29	-0.28	0.89	29	96.77	31	2.22
competition	1	Concrete	3	10575	1386.82	342.32	11	1.64	1.22	11	29.03	31	3.86
compiler	2	Abstract	2	20463	1072.60	392.28	10	0.14	1.02	10	32.26	31	2.46
complacent	8	Abstract	4	80883	976.61	363.63	31	-0.10	0.78	31	100.00	31	2.17
complement	2	Abstract	2	20445	1038.15	527.01	26	0.09	1.33	26	90.32	31	2
completion	5	Abstract	2	50410	1205.21	330.54	28	0.74	1.04	28	93.75	32	2.33
complex	6	Abstract	2	60433	980.29	287.64	28	-0.04	1.04	28	93.55	31	1.96
complexity	10	Abstract	2	100416	883.93	263.63	28	-0.31	0.95	28	93.75	32	1.87
compliance	4	Abstract	1	40175	1061.43	287.08	28	0.15	0.96	28	87.50	32	1.96
compliant	8	Abstract	2	80479	1227.58	504.75	26	0.50	1.22	26	83.87	31	2.28
complicate	10	Abstract	2	100465	979.43	440.09	30	-0.16	0.99	30	96.88	32	1.65
complication	7	Abstract	2	70447	1041.47	396.06	30	0.14	0.95	30	100.00	31	1.86
comply	3	Abstract	4	30886	883.30	325.99	30	-0.30	0.88	30	96.77	31	2.19
composer	10	Concrete	3	100615	979.36	278.44	28	-0.19	0.74	28	87.50	32	4.37
composure	3	Abstract	3	30694	1067.26	321.68	23	0.37	0.86	23	74.19	31	2.43
comprehend	4	Abstract	2	40452	941.80	247.48	30	-0.18	0.70	30	93.75	32	1.86
comprehension	7	Abstract	1	70238	1245.15	518.27	26	0.52	1.18	26	87.10	31	1.78
compress	7	Concrete	3	70598	1108.94	379.13	18	0.42	0.86	18	58.06	31	3.97
compressor	6	Concrete	4	60792	1070.10	428.59	29	0.12	0.81	29	93.55	31	4.39
comprise	8	Abstract	2	80443	1041.26	352.84	31	0.04	0.82	31	100.00	31	1.89
comprised	8	Abstract	2	80401	958.97	337.52	29	-0.18	0.70	29	93.55	31	2.28
compromise	2	Abstract	2	20459	1147.60	502.21	30	0.51	1.26	30	100.00	31	1.8
compromising	9	Abstract	4	90972	944.37	320.34	27	-0.03	0.86	27	93.33	30	1.83
compulsively	5	Abstract	4	50960	904.81	372.75	31	-0.29	1.00	31	96.88	32	2.18
compulsory	1	Abstract	1	10205	1135.13	441.92	31	0.23	0.87	31	100.00	31	1.96
compute	6	Abstract	4	60949	1133.39	526.57	18	0.19	0.97	18	54.84	31	2.39
comradeship	4	Abstract	1	40147	1408.14	429.42	21	1.05	1.09	21	68.75	32	2.2
concede	1	Abstract	2	10404	1031.10	503.90	31	0.03	1.04	31	100.00	31	1.96
conceded	6	Abstract	1	60181	1123.93	354.41	28	0.23	0.94	28	87.10	31	2.22
conceit	5	Abstract	1	50146	1036.19	277.43	27	0.15	0.75	27	87.50	32	2.1
conceited	5	Abstract	3	50649	1005.21	393.29	29	-0.09	0.88	29	96.88	32	1.62
conceive	8	Abstract	1	80202	1048.54	417.15	28	0.13	1.24	28	90.32	31	2.04
concentration	7	Abstract	2	70485	1132.14	483.27	28	0.40	1.23	28	87.10	31	2.1
concept	9	Abstract	4	90884	959.26	254.71	27	0.09	0.98	27	93.33	30	1.41
conceptual	4	Abstract	2	40453	914.59	297.44	32	-0.30	0.73	32	100.00	32	1.26
concern	9	Abstract	4	90965	828.08	232.30	26	-0.37	0.67	26	86.67	30	1.7
concerto	2	Concrete	1	20090	1251.45	374.90	22	0.73	0.86	22	70.97	31	3.75
conch	6	Concrete	4	60837	918.57	263.97	30	-0.15	0.88	30	96.77	31	4.52
concierge	3	Concrete	4	30781	1253.11	435.86	19	0.80	0.92	19	61.29	31	3.89
concise	9	Abstract	4	90992	937.03	320.98	30	-0.09	0.81	30	100.00	30	1.88
concisely	1	Abstract	2	10451	982.94	369.61	31	-0.18	0.90	31	96.77	31	1.79
conclude	2	Abstract	4	20942	948.50	295.24	30	-0.08	0.70	30	100.00	31	1.78
concluding	5	Abstract	2	50454	993.47	288.81	30	0.02	0.78	30	93.75	32	2.21
conclusion	9	Abstract	4	90941	925.41	285.57	27	-0.09	0.95	27	90.00	30	2.11
conclusive	7	Abstract	4	70967	860.97	255.15	30	-0.31	0.62	30	96.77	31	1.52
conclusively	7	Abstract	2	70433	909.10	246.29	31	-0.19	0.74	31	100.00	31	1.9
concoct	1	Abstract	3	10714	1331.10	451.12	20	0.84	1.23	20	67.74	31	2.4
concordance	1	Abstract	4	10883	1149.90	426.70	30	0.51	0.96	30	96.77	31	1.58
concourse	1	Concrete	4	10789	1267.60	395.07	10	1.21	1.18	10	35.48	31	3.96
concur	7	Abstract	2	70428	1103.63	393.95	30	0.42	1.00	30	96.77	31	2.08
concurrent	7	Abstract	3	70709	1167.54	370.48	28	0.55	0.91	28	93.55	31	2.19
condemn	3	Abstract	4	30972	996.69	275.24	26	0.17	0.62	26	83.87	31	1.96
condemnation	5	Abstract	4	50944	1090.06	401.52	31	0.34	1.02	31	100.00	32	2.04
condensation	6	Concrete	2	60329	1306.53	473.54	19	1.13	1.23	19	61.29	31	4.24
condenser	7	Concrete	3	70546	1085.46	325.70	28	0.39	0.75	28	90.32	31	3.96
condescend	8	Abstract	1	80186	1182.83	395.48	29	0.48	0.91	29	96.77	31	1.5
condiment	3	Concrete	1	30068	1068.93	333.15	27	0.01	0.63	27	87.10	31	4.72
condition	3	Abstract	4	30965	1017.33	370.01	24	0.20	1.07	24	80.65	31	2.15
conditioned	2	Abstract	3	20638	1035.31	413.04	29	0.13	0.91	29	96.77	31	2.2
conditioner	2	Concrete	4	20856	859.10	352.67	29	-0.43	0.77	29	93.55	31	4.21
condominium	6	Concrete	1	60121	1172.53	328.83	19	0.40	0.55	19	61.29	31	4.35
condone	3	Abstract	2	30484	1281.93	468.97	27	0.78	0.96	27	87.10	31	1.79
condor	7	Concrete	4	70834	1001.44	333.47	16	0.36	1.16	16	54.84	31	4.46
conduct	7	Abstract	4	70964	1104.24	393.09	25	0.55	1.29	25	80.65	31	2.08
conductor	10	Concrete	4	100821	926.43	357.04	30	-0.26	0.82	30	93.75	32	4.26
conduit	9	Concrete	1	90098	1380.33	444.07	15	1.01	1.16	15	50.00	30	3.58
confection	8	Concrete	4	80829	1273.40	370.90	15	1.21	1.01	15	51.61	31	3.84
confectioner	2	Concrete	4	20782	1106.48	410.19	27	0.42	1.12	27	87.10	31	4.08
