verb,chapter,category,subcategory,extra_specifications,page
acquire,14,learn verbs,,,p. 144
cram,14,learn verbs,,,p. 144
glean,14,learn verbs,,,p. 144
learn,14,learn verbs,,,p. 144
memorize,14,learn verbs,,,p. 144
read,14,learn verbs,,,p. 144
study,14,learn verbs,,,p. 144
clasp,15.1,hold ad keep verbs,hold verbs,,p. 144
clutch,15.1,hold ad keep verbs,hold verbs,,p. 144
grasp,15.1,hold ad keep verbs,hold verbs,,p. 144
grip,15.1,hold ad keep verbs,hold verbs,,p. 144
handle,15.1,hold ad keep verbs,hold verbs,,p. 144
hold,15.1,hold ad keep verbs,hold verbs,,p. 144
wield,15.1,hold ad keep verbs,hold verbs,,p. 144
hoard,15.2,hold ad keep verbs,keep verbs,,p. 144
keep,15.2,hold ad keep verbs,keep verbs,,p. 144
leave,15.2,hold ad keep verbs,keep verbs,,p. 144
store,15.2,hold ad keep verbs,keep verbs,,p. 144
block,16,verbs of concealment,,,p. 146
cloister,16,verbs of concealment,,,p. 146
conceal,16,verbs of concealment,,,p. 146
curtain,16,verbs of concealment,,,p. 146
hide,16,verbs of concealment,,,p. 146
isolate,16,verbs of concealment,,,p. 146
quarantine,16,verbs of concealment,,,p. 146
screen,16,verbs of concealment,,,p. 146
seclude,16,verbs of concealment,,,p. 146
sequester,16,verbs of concealment,,,p. 146
shelter,16,verbs of concealment,,,p. 146
bash,17.1,verbs of throwing,,,p. 146
bat,17.1,verbs of throwing,,,p. 146
bunt,17.1,verbs of throwing,,,p. 146
?cast,17.1,verbs of throwing,,,p. 146
catapult,17.1,verbs of throwing,,,p. 146
chuck,17.1,verbs of throwing,,,p. 146
fire (projectile),17.1,verbs of throwing,,,p. 146
flick,17.1,verbs of throwing,,,p. 146
fling,17.1,verbs of throwing,,,p. 146
flip,17.1,verbs of throwing,,,p. 146
hit (ball),17.1,verbs of throwing,,,p. 146
hurl,17.1,verbs of throwing,,,p. 146
kick (ball),17.1,verbs of throwing,,,p. 146
knock,17.1,verbs of throwing,,,p. 146
lob,17.1,verbs of throwing,,,p. 146
?loft,17.1,verbs of throwing,,,p. 146
nudge,17.1,verbs of throwing,,,p. 146
pass,17.1,verbs of throwing,,,p. 146
pitch,17.1,verbs of throwing,,,p. 146
punt,17.1,verbs of throwing,,,p. 146
shoot (projectile),17.1,verbs of throwing,,,p. 146
shovel,17.1,verbs of throwing,,,p. 146
slam,17.1,verbs of throwing,,,p. 146
slap,17.1,verbs of throwing,,,p. 146
sling,17.1,verbs of throwing,,,p. 146
smash,17.1,verbs of throwing,,,p. 146
tap,17.1,verbs of throwing,,,p. 146
throw,17.1,verbs of throwing,,,p. 146
tip,17.1,verbs of throwing,,,p. 146
toss,17.1,verbs of throwing,,,p. 146
buffet,17.2,pelt verbs,,,p. 147
bombard,17.2,pelt verbs,,,p. 147
pelt,17.2,pelt verbs,,,p. 147
shower,17.2,pelt verbs,,,p. 147
stone,17.2,pelt verbs,,,p. 147
bang,18.1,verbs of contact by impact,hit verbs,,p. 148
bash,18.1,verbs of contact by impact,hit verbs,,p. 148
batter,18.1,verbs of contact by impact,hit verbs,,p. 148
bump,18.1,verbs of contact by impact,hit verbs,,p. 148
butt,18.1,verbs of contact by impact,hit verbs,,p. 148
dash,18.1,verbs of contact by impact,hit verbs,,p. 148
drum,18.1,verbs of contact by impact,hit verbs,,p. 148
hammer,18.1,verbs of contact by impact,hit verbs,,p. 148
hit,18.1,verbs of contact by impact,hit verbs,,p. 148
kick,18.1,verbs of contact by impact,hit verbs,,p. 148
knock,18.1,verbs of contact by impact,hit verbs,,p. 148
lash,18.1,verbs of contact by impact,hit verbs,,p. 148
pound,18.1,verbs of contact by impact,hit verbs,,p. 148
rap,18.1,verbs of contact by impact,hit verbs,,p. 148
slap,18.1,verbs of contact by impact,hit verbs,,p. 148
smack,18.1,verbs of contact by impact,hit verbs,,p. 148
smash (where no effect implicated),18.1,verbs of contact by impact,hit verbs,,p. 148
strike,18.1,verbs of contact by impact,hit verbs,,p. 148
tamp,18.1,verbs of contact by impact,hit verbs,,p. 148
tap,18.1,verbs of contact by impact,hit verbs,,p. 148
thump,18.1,verbs of contact by impact,hit verbs,,p. 148
thwack,18.1,verbs of contact by impact,hit verbs,,p. 148
whack,18.1,verbs of contact by impact,hit verbs,,p. 148
bite,18.2,verbs of contact by impact,swat verbs,,p. 150
claw,18.2,verbs of contact by impact,swat verbs,,p. 150
paw,18.2,verbs of contact by impact,swat verbs,,p. 150
peck,18.2,verbs of contact by impact,swat verbs,,p. 150
punch (person),18.2,verbs of contact by impact,swat verbs,,p. 150
scratch,18.2,verbs of contact by impact,swat verbs,,p. 150
shoot (gun),18.2,verbs of contact by impact,swat verbs,,p. 150
slug,18.2,verbs of contact by impact,swat verbs,,p. 150
stab,18.2,verbs of contact by impact,swat verbs,,p. 150
swat,18.2,verbs of contact by impact,swat verbs,,p. 150
swipe,18.2,verbs of contact by impact,swat verbs,,p. 150
belt,18.3,verbs of contact by impact,spank verbs,,p. 151
birch,18.3,verbs of contact by impact,spank verbs,,p. 151
bludgeon,18.3,verbs of contact by impact,spank verbs,,p. 151
bonk,18.3,verbs of contact by impact,spank verbs,,p. 151
brain,18.3,verbs of contact by impact,spank verbs,,p. 151
cane,18.3,verbs of contact by impact,spank verbs,,p. 151
clobber,18.3,verbs of contact by impact,spank verbs,,p. 151
club,18.3,verbs of contact by impact,spank verbs,,p. 151
conk,18.3,verbs of contact by impact,spank verbs,,p. 151
cosh,18.3,verbs of contact by impact,spank verbs,,p. 151
cudgel,18.3,verbs of contact by impact,spank verbs,,p. 151
cuff,18.3,verbs of contact by impact,spank verbs,,p. 151
flog,18.3,verbs of contact by impact,spank verbs,,p. 151
knife,18.3,verbs of contact by impact,spank verbs,,p. 151
paddle,18.3,verbs of contact by impact,spank verbs,,p. 151
paddywhack,18.3,verbs of contact by impact,spank verbs,,p. 151
pummel,18.3,verbs of contact by impact,spank verbs,,p. 151
sock,18.3,verbs of contact by impact,spank verbs,,p. 151
spank,18.3,verbs of contact by impact,spank verbs,,p. 151
strap,18.3,verbs of contact by impact,spank verbs,,p. 151
thrash,18.3,verbs of contact by impact,spank verbs,,p. 151
truncheon,18.3,verbs of contact by impact,spank verbs,,p. 151
wallop,18.3,verbs of contact by impact,spank verbs,,p. 151
whip,18.3,verbs of contact by impact,spank verbs,,p. 151
whisk,18.3,verbs of contact by impact,spank verbs,,p. 151
bang,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
brush,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
bump,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
crash,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
hit,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
knock,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
ram,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
slam,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
smash,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
thud,18.4,verbs of contact by impact,non-agentive verbs of contact by impact,,p. 153
dig,19,poke verbs,,,p. 154
jab,19,poke verbs,,,p. 154
pierce,19,poke verbs,,,p. 154
poke,19,poke verbs,,,p. 154
prick,19,poke verbs,,,p. 154
stick,19,poke verbs,,,p. 154
caress,20,verbs of contact: touch verbs,,,p. 155
graze,20,verbs of contact: touch verbs,,,p. 155
kiss,20,verbs of contact: touch verbs,,,p. 155
lick,20,verbs of contact: touch verbs,,,p. 155
nudge,20,verbs of contact: touch verbs,,,p. 155
pat,20,verbs of contact: touch verbs,,,p. 155
peck (=kiss),20,verbs of contact: touch verbs,,,p. 155
pinch,20,verbs of contact: touch verbs,,,p. 155
prod,20,verbs of contact: touch verbs,,,p. 155
sting,20,verbs of contact: touch verbs,,,p. 155
stroke,20,verbs of contact: touch verbs,,,p. 155
tickle,20,verbs of contact: touch verbs,,,p. 155
touch,20,verbs of contact: touch verbs,,,p. 155
chip,21.1,verbs of cutting,cut verbs,,p. 156
clip,21.1,verbs of cutting,cut verbs,,p. 156
cut,21.1,verbs of cutting,cut verbs,,p. 156
hack,21.1,verbs of cutting,cut verbs,,p. 156
hew,21.1,verbs of cutting,cut verbs,,p. 156
saw,21.1,verbs of cutting,cut verbs,,p. 156
scrape,21.1,verbs of cutting,cut verbs,,p. 156
scratch,21.1,verbs of cutting,cut verbs,,p. 156
slash,21.1,verbs of cutting,cut verbs,,p. 156
snip,21.1,verbs of cutting,cut verbs,,p. 156
bore,21.2,verbs of cutting,carve verbs,,p. 158
bruise,21.2,verbs of cutting,carve verbs,,p. 158
carve,21.2,verbs of cutting,carve verbs,,p. 158
chip (potatoes),21.2,verbs of cutting,carve verbs,,p. 158
chop,21.2,verbs of cutting,carve verbs,,p. 158
crop,21.2,verbs of cutting,carve verbs,,p. 158
crush,21.2,verbs of cutting,carve verbs,,p. 158
cube,21.2,verbs of cutting,carve verbs,,p. 158
dent,21.2,verbs of cutting,carve verbs,,p. 158
dice,21.2,verbs of cutting,carve verbs,,p. 158
drill,21.2,verbs of cutting,carve verbs,,p. 158
file,21.2,verbs of cutting,carve verbs,,p. 158
fillet,21.2,verbs of cutting,carve verbs,,p. 158
gash,21.2,verbs of cutting,carve verbs,,p. 158
gouge,21.2,verbs of cutting,carve verbs,,p. 158
grate,21.2,verbs of cutting,carve verbs,,p. 158
grind,21.2,verbs of cutting,carve verbs,,p. 158
mangle,21.2,verbs of cutting,carve verbs,,p. 158
mash,21.2,verbs of cutting,carve verbs,,p. 158
mince,21.2,verbs of cutting,carve verbs,,p. 158
mow,21.2,verbs of cutting,carve verbs,,p. 158
nick,21.2,verbs of cutting,carve verbs,,p. 158
notch,21.2,verbs of cutting,carve verbs,,p. 158
perforate,21.2,verbs of cutting,carve verbs,,p. 158
pulverize,21.2,verbs of cutting,carve verbs,,p. 158
punch (paper),21.2,verbs of cutting,carve verbs,,p. 158
prune,21.2,verbs of cutting,carve verbs,,p. 158
shred,21.2,verbs of cutting,carve verbs,,p. 158
slice,21.2,verbs of cutting,carve verbs,,p. 158
slit,21.2,verbs of cutting,carve verbs,,p. 158
spear,21.2,verbs of cutting,carve verbs,,p. 158
squash,21.2,verbs of cutting,carve verbs,,p. 158
squish,21.2,verbs of cutting,carve verbs,,p. 158
blend,22.1,verbs of combining and attaching,mix verbs,with,p. 159
combine,22.1,verbs of combining and attaching,mix verbs,with,p. 159
commingle,22.1,verbs of combining and attaching,mix verbs,with,p. 159
concatenate,22.1,verbs of combining and attaching,mix verbs,with,p. 159
connect,22.1,verbs of combining and attaching,mix verbs,with,p. 159
fuse,22.1,verbs of combining and attaching,mix verbs,with,p. 159
join,22.1,verbs of combining and attaching,mix verbs,with,p. 159
link,22.1,verbs of combining and attaching,mix verbs,with,p. 159
merge,22.1,verbs of combining and attaching,mix verbs,with,p. 159
mingle,22.1,verbs of combining and attaching,mix verbs,with,p. 159
mix,22.1,verbs of combining and attaching,mix verbs,with,p. 159
pool,22.1,verbs of combining and attaching,mix verbs,with,p. 159
blend,22.1,verbs of combining and attaching,mix verbs,into,p. 159
cream,22.1,verbs of combining and attaching,mix verbs,into,p. 159
mix,22.1,verbs of combining and attaching,mix verbs,into,p. 159
add,22.1,verbs of combining and attaching,mix verbs,to,p. 159
connect,22.1,verbs of combining and attaching,mix verbs,to,p. 159
join,22.1,verbs of combining and attaching,mix verbs,to,p. 159
link,22.1,verbs of combining and attaching,mix verbs,to,p. 159
network,22.1,verbs of combining and attaching,mix verbs,to,p. 159
affiliate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
alternate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
amalgamate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
associate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
coalesce,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
coincide,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
compare,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
confederate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
confuse,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
conjoin,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
consolidate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
contrast,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
correlate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
criss-cross,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
entwine,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
entangle,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
harmonize,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
incorporate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
integrate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
interchange,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
interconnect,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
interlace,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
interlink,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
interlock,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
intermingle,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
interrelate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
intersperse,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
intertwine,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
interweave,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
mate,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
muddle,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
?pair,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
rhyme,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
?team,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
total,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
unify,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
unite,22.2,verbs of combining and attaching,amalgamate verbs,with,p. 160
engage,22.2,verbs of combining and attaching,amalgamate verbs,to,p. 160
introduce,22.2,verbs of combining and attaching,amalgamate verbs,to,p. 160
marry,22.2,verbs of combining and attaching,amalgamate verbs,to,p. 160
oppose,22.2,verbs of combining and attaching,amalgamate verbs,to,p. 160
wed,22.2,verbs of combining and attaching,amalgamate verbs,to,p. 160
band,22.3,verbs of combining and attaching,shake verbs,with,p. 161
beat,22.3,verbs of combining and attaching,shake verbs,with,p. 161
bundle,22.3,verbs of combining and attaching,shake verbs,with,p. 161
cluster,22.3,verbs of combining and attaching,shake verbs,with,p. 161
collate,22.3,verbs of combining and attaching,shake verbs,with,p. 161
gather,22.3,verbs of combining and attaching,shake verbs,with,p. 161
glom,22.3,verbs of combining and attaching,shake verbs,with,p. 161
group,22.3,verbs of combining and attaching,shake verbs,with,p. 161
herd,22.3,verbs of combining and attaching,shake verbs,with,p. 161
jumble,22.3,verbs of combining and attaching,shake verbs,with,p. 161
lump,22.3,verbs of combining and attaching,shake verbs,with,p. 161
mass,22.3,verbs of combining and attaching,shake verbs,with,p. 161
package,22.3,verbs of combining and attaching,shake verbs,with,p. 161
pair,22.3,verbs of combining and attaching,shake verbs,with,p. 161
roll,22.3,verbs of combining and attaching,shake verbs,with,p. 161
scramble,22.3,verbs of combining and attaching,shake verbs,with,p. 161
shake,22.3,verbs of combining and attaching,shake verbs,with,p. 161
shuffle,22.3,verbs of combining and attaching,shake verbs,with,p. 161
stir,22.3,verbs of combining and attaching,shake verbs,with,p. 161
whip,22.3,verbs of combining and attaching,shake verbs,with,p. 161
whisk,22.3,verbs of combining and attaching,shake verbs,with,p. 161
beat,22.3,verbs of combining and attaching,shake verbs,into,p. 161
collect,22.3,verbs of combining and attaching,shake verbs,into,p. 161
scramble,22.3,verbs of combining and attaching,shake verbs,into,p. 161
shake,22.3,verbs of combining and attaching,shake verbs,into,p. 161
shuffle,22.3,verbs of combining and attaching,shake verbs,into,p. 161
splice,22.3,verbs of combining and attaching,shake verbs,into,p. 161
stir,22.3,verbs of combining and attaching,shake verbs,into,p. 161
swirl,22.3,verbs of combining and attaching,shake verbs,into,p. 161
whip,22.3,verbs of combining and attaching,shake verbs,into,p. 161
whisk,22.3,verbs of combining and attaching,shake verbs,into,p. 161
append,22.3,verbs of combining and attaching,shake verbs,to,p. 161
attach,22.3,verbs of combining and attaching,shake verbs,to,p. 161
baste,22.3,verbs of combining and attaching,shake verbs,to,p. 161
bind,22.3,verbs of combining and attaching,shake verbs,to,p. 161
bond,22.3,verbs of combining and attaching,shake verbs,to,p. 161
fasten,22.3,verbs of combining and attaching,shake verbs,to,p. 161
fuse,22.3,verbs of combining and attaching,shake verbs,to,p. 161
graft,22.3,verbs of combining and attaching,shake verbs,to,p. 161
moor,22.3,verbs of combining and attaching,shake verbs,to,p. 161
sew,22.3,verbs of combining and attaching,shake verbs,to,p. 161
splice,22.3,verbs of combining and attaching,shake verbs,to,p. 161
stick,22.3,verbs of combining and attaching,shake verbs,to,p. 161
weld,22.3,verbs of combining and attaching,shake verbs,to,p. 161
anchor,22.4,verbs of combining and attaching,tape verbs,,p. 162
band,22.4,verbs of combining and attaching,tape verbs,,p. 162
belt,22.4,verbs of combining and attaching,tape verbs,,p. 162
bolt,22.4,verbs of combining and attaching,tape verbs,,p. 162
bracket,22.4,verbs of combining and attaching,tape verbs,,p. 162
buckle,22.4,verbs of combining and attaching,tape verbs,,p. 162
button,22.4,verbs of combining and attaching,tape verbs,,p. 162
cement,22.4,verbs of combining and attaching,tape verbs,,p. 162
chain,22.4,verbs of combining and attaching,tape verbs,,p. 162
clamp,22.4,verbs of combining and attaching,tape verbs,,p. 162
clasp,22.4,verbs of combining and attaching,tape verbs,,p. 162
clip,22.4,verbs of combining and attaching,tape verbs,,p. 162
epoxy,22.4,verbs of combining and attaching,tape verbs,,p. 162
fetter,22.4,verbs of combining and attaching,tape verbs,,p. 162
glue,22.4,verbs of combining and attaching,tape verbs,,p. 162
gum,22.4,verbs of combining and attaching,tape verbs,,p. 162
handcuff,22.4,verbs of combining and attaching,tape verbs,,p. 162
harness,22.4,verbs of combining and attaching,tape verbs,,p. 162
hinge,22.4,verbs of combining and attaching,tape verbs,,p. 162
hitch,22.4,verbs of combining and attaching,tape verbs,,p. 162
hook,22.4,verbs of combining and attaching,tape verbs,,p. 162
knot,22.4,verbs of combining and attaching,tape verbs,,p. 162
lace,22.4,verbs of combining and attaching,tape verbs,,p. 162
lash,22.4,verbs of combining and attaching,tape verbs,,p. 162
lasso,22.4,verbs of combining and attaching,tape verbs,,p. 162
latch,22.4,verbs of combining and attaching,tape verbs,,p. 162
leash,22.4,verbs of combining and attaching,tape verbs,,p. 162
link,22.4,verbs of combining and attaching,tape verbs,,p. 162
lock,22.4,verbs of combining and attaching,tape verbs,,p. 162
loop,22.4,verbs of combining and attaching,tape verbs,,p. 162
manacle,22.4,verbs of combining and attaching,tape verbs,,p. 162
moor,22.4,verbs of combining and attaching,tape verbs,,p. 162
muzzle,22.4,verbs of combining and attaching,tape verbs,,p. 162
nail,22.4,verbs of combining and attaching,tape verbs,,p. 162
padlock,22.4,verbs of combining and attaching,tape verbs,,p. 162
paste,22.4,verbs of combining and attaching,tape verbs,,p. 162
peg,22.4,verbs of combining and attaching,tape verbs,,p. 162
pin,22.4,verbs of combining and attaching,tape verbs,,p. 162
plaster,22.4,verbs of combining and attaching,tape verbs,,p. 162
rivet,22.4,verbs of combining and attaching,tape verbs,,p. 162
rope,22.4,verbs of combining and attaching,tape verbs,,p. 162
screw,22.4,verbs of combining and attaching,tape verbs,,p. 162
seal,22.4,verbs of combining and attaching,tape verbs,,p. 162
shackle,22.4,verbs of combining and attaching,tape verbs,,p. 162
skewer,22.4,verbs of combining and attaching,tape verbs,,p. 162
solder,22.4,verbs of combining and attaching,tape verbs,,p. 162
staple,22.4,verbs of combining and attaching,tape verbs,,p. 162
stitch,22.4,verbs of combining and attaching,tape verbs,,p. 162
strap,22.4,verbs of combining and attaching,tape verbs,,p. 162
string,22.4,verbs of combining and attaching,tape verbs,,p. 162
tack,22.4,verbs of combining and attaching,tape verbs,,p. 162
tape,22.4,verbs of combining and attaching,tape verbs,,p. 162
tether,22.4,verbs of combining and attaching,tape verbs,,p. 162
thumbtack,22.4,verbs of combining and attaching,tape verbs,,p. 162
tie,22.4,verbs of combining and attaching,tape verbs,,p. 162
trammel,22.4,verbs of combining and attaching,tape verbs,,p. 162
wire,22.4,verbs of combining and attaching,tape verbs,,p. 162
yoke,22.4,verbs of combining and attaching,tape verbs,,p. 162
zip,22.4,verbs of combining and attaching,tape verbs,,p. 162
adhere,22.5,verbs of combining and attaching,cling verbs,,p. 163
cleave,22.5,verbs of combining and attaching,cling verbs,,p. 163
cling,22.5,verbs of combining and attaching,cling verbs,,p. 163
decouple,23.1,verbs of separating and disassembling,separate verbs,,p. 165
differentiate,23.1,verbs of separating and disassembling,separate verbs,,p. 165
disconnect,23.1,verbs of separating and disassembling,separate verbs,,p. 165
disentangle,23.1,verbs of separating and disassembling,separate verbs,,p. 165
dissociate,23.1,verbs of separating and disassembling,separate verbs,,p. 165
distinguish,23.1,verbs of separating and disassembling,separate verbs,,p. 165
divide,23.1,verbs of separating and disassembling,separate verbs,,p. 165
divorce,23.1,verbs of separating and disassembling,separate verbs,,p. 165
part,23.1,verbs of separating and disassembling,separate verbs,,p. 165
segregate,23.1,verbs of separating and disassembling,separate verbs,,p. 165
separate,23.1,verbs of separating and disassembling,separate verbs,,p. 165
sever,23.1,verbs of separating and disassembling,separate verbs,,p. 165
blow,23.2,verbs of separating and disassembling,split verbs,,p. 166
break,23.2,verbs of separating and disassembling,split verbs,,p. 166
cut,23.2,verbs of separating and disassembling,split verbs,,p. 166
draw,23.2,verbs of separating and disassembling,split verbs,,p. 166
hack,23.2,verbs of separating and disassembling,split verbs,,p. 166
hew,23.2,verbs of separating and disassembling,split verbs,,p. 166
kick,23.2,verbs of separating and disassembling,split verbs,,p. 166
knock,23.2,verbs of separating and disassembling,split verbs,,p. 166
prypull,23.2,verbs of separating and disassembling,split verbs,,p. 166
push,23.2,verbs of separating and disassembling,split verbs,,p. 166
rip,23.2,verbs of separating and disassembling,split verbs,,p. 166
roll,23.2,verbs of separating and disassembling,split verbs,,p. 166
saw,23.2,verbs of separating and disassembling,split verbs,,p. 166
shove,23.2,verbs of separating and disassembling,split verbs,,p. 166
slip,23.2,verbs of separating and disassembling,split verbs,,p. 166
split,23.2,verbs of separating and disassembling,split verbs,,p. 166
tear,23.2,verbs of separating and disassembling,split verbs,,p. 166
tug,23.2,verbs of separating and disassembling,split verbs,,p. 166
yank,23.2,verbs of separating and disassembling,split verbs,,p. 166
detach,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
disassemble,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
disconnect,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
partition,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
sift,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
sunder,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unbolt,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unbuckle,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unbutton,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unchain,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unclamp,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unclasp,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unclip,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unfasten,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unglue,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unhinge,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unhitch,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unhook,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unlace,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unlatch,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unlock,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unleash,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unpeg,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unpin,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unscrew,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unshackle,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unstaple,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unstitch,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
untie,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
unzip,23.3,verbs of separating and disassembling,disassemble verbs,,p. 167
differ,23.4,verbs of separating and disassembling,differ verbs,,p. 167
diverge,23.4,verbs of separating and disassembling,differ verbs,,p. 167
color,24,verbs of coloring,,,p. 168
distemper,24,verbs of coloring,,,p. 168
dye,24,verbs of coloring,,,p. 168
enamel,24,verbs of coloring,,,p. 168
glaze,24,verbs of coloring,,,p. 168
japan,24,verbs of coloring,,,p. 168
lacquer,24,verbs of coloring,,,p. 168
paint,24,verbs of coloring,,,p. 168
shellac,24,verbs of coloring,,,p. 168
spraypaint,24,verbs of coloring,,,p. 168
stain,24,verbs of coloring,,,p. 168
tint,24,verbs of coloring,,,p. 168
varnish,24,verbs of coloring,,,p. 168
appliqué,25.1,image creation verbs,verbs of image impression,,p. 169
emboss,25.1,image creation verbs,verbs of image impression,,p. 169
embroider,25.1,image creation verbs,verbs of image impression,,p. 169
engrave,25.1,image creation verbs,verbs of image impression,,p. 169
etch,25.1,image creation verbs,verbs of image impression,,p. 169
imprint,25.1,image creation verbs,verbs of image impression,,p. 169
incise,25.1,image creation verbs,verbs of image impression,,p. 169
inscribe,25.1,image creation verbs,verbs of image impression,,p. 169
mark,25.1,image creation verbs,verbs of image impression,,p. 169
paint,25.1,image creation verbs,verbs of image impression,,p. 169
set,25.1,image creation verbs,verbs of image impression,,p. 169
sign,25.1,image creation verbs,verbs of image impression,,p. 169
stamp,25.1,image creation verbs,verbs of image impression,,p. 169
tattoo,25.1,image creation verbs,verbs of image impression,,p. 169
carve,25.2,image creation verbs,scribble verbs,,p. 170
chalk,25.2,image creation verbs,scribble verbs,,p. 170
charcoal,25.2,image creation verbs,scribble verbs,,p. 170
copy,25.2,image creation verbs,scribble verbs,,p. 170
crayon,25.2,image creation verbs,scribble verbs,,p. 170
doodle,25.2,image creation verbs,scribble verbs,,p. 170
draw,25.2,image creation verbs,scribble verbs,,p. 170
forge,25.2,image creation verbs,scribble verbs,,p. 170
ink,25.2,image creation verbs,scribble verbs,,p. 170
paint,25.2,image creation verbs,scribble verbs,,p. 170
pencil,25.2,image creation verbs,scribble verbs,,p. 170
plot,25.2,image creation verbs,scribble verbs,,p. 170
print,25.2,image creation verbs,scribble verbs,,p. 170
scratch,25.2,image creation verbs,scribble verbs,,p. 170
scrawl,25.2,image creation verbs,scribble verbs,,p. 170
scribble,25.2,image creation verbs,scribble verbs,,p. 170
sketch,25.2,image creation verbs,scribble verbs,,p. 170
spraypaint,25.2,image creation verbs,scribble verbs,,p. 170
stencil,25.2,image creation verbs,scribble verbs,,p. 170
trace,25.2,image creation verbs,scribble verbs,,p. 170
type,25.2,image creation verbs,scribble verbs,,p. 170
write,25.2,image creation verbs,scribble verbs,,p. 170
address,25.3,image creation verbs,illustrate verbs,,p. 171
adorn,25.3,image creation verbs,illustrate verbs,,p. 171
